<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20140106,110000,100.2000000,100.3100000,99.7000000,100.1000000,3403970
SBER,60,20140106,120000,100.0900000,100.1000000,99.5500000,99.6000000,4429500
SBER,60,20140106,130000,99.6000000,99.9800000,99.3300000,99.5000000,4826580
SBER,60,20140106,140000,99.5100000,99.7000000,99.3500000,99.5500000,3510720
SBER,60,20140106,150000,99.5600000,99.6600000,99.3700000,99.5000000,2326270
SBER,60,20140106,160000,99.5000000,99.7800000,99.4300000,99.4800000,2993600
SBER,60,20140106,170000,99.4800000,99.5800000,99.2700000,99.5000000,2733250
SBER,60,20140106,180000,99.5000000,99.5300000,99.1100000,99.2000000,2505200
SBER,60,20140106,190000,99.2000000,99.3500000,98.6200000,98.9100000,4672980
SBER,60,20140108,110000,99.1000000,99.1000000,98.7100000,98.8000000,5281660
SBER,60,20140108,120000,98.8300000,99.2800000,98.7000000,99.1600000,3871730
SBER,60,20140108,130000,99.1500000,99.4100000,98.8900000,98.9800000,5108700
SBER,60,20140108,140000,99.0000000,99.0900000,98.8500000,98.9400000,2594460
SBER,60,20140108,150000,98.9400000,99.0200000,98.7500000,98.8400000,2628330
SBER,60,20140108,160000,98.8400000,98.9500000,98.7700000,98.8300000,2403070
SBER,60,20140108,170000,98.8300000,98.9000000,98.7000000,98.7400000,2234680
SBER,60,20140108,180000,98.7400000,98.7600000,98.5500000,98.6300000,4589490
SBER,60,20140108,190000,98.6300000,98.6400000,97.8500000,98.1900000,13592500
SBER,60,20140109,110000,98.2400000,98.4400000,98.0500000,98.2400000,4021760
SBER,60,20140109,120000,98.2200000,98.2900000,97.6900000,97.9900000,5831180
SBER,60,20140109,130000,97.9900000,98.4500000,97.9000000,98.2300000,7979390
SBER,60,20140109,140000,98.2300000,98.6700000,98.2100000,98.3500000,7463990
SBER,60,20140109,150000,98.3500000,98.6900000,98.2000000,98.5800000,3142280
SBER,60,20140109,160000,98.5800000,98.7700000,98.4300000,98.4700000,2777600
SBER,60,20140109,170000,98.4700000,98.6200000,98.2600000,98.2900000,3267230
SBER,60,20140109,180000,98.2900000,98.4900000,97.9900000,98.1200000,7245760
SBER,60,20140109,190000,98.1200000,98.1600000,97.8600000,98.0000000,3889840
SBER,60,20140110,110000,97.8500000,97.8900000,97.5200000,97.8200000,3808850
SBER,60,20140110,120000,97.8000000,97.9500000,97.6500000,97.8700000,5540670
SBER,60,20140110,130000,97.8600000,98.2600000,97.8300000,97.9300000,5356320
